,0
ndvi_mean,0.3207976929689375
management_index,0.14880512559644837
seed_type,0.11547279823097475
planting_week,0.0591968759255448
farm_size_ha,0.05703035056100311
fert_rate_kgha,0.05610038888688076
planting_optimal,0.05098515936833933
education_yrs,0.04209956454646199
irrigation,0.026272515146446896
soil_clay_pct,0.020979913036344857
soil_fertility_score,0.016496794543068995
soil_soc_gkg,0.015589618427705617
soil_ph,0.011821677925283592
extension_access,0.01005143263826299
subcounty_Mwingi West,0.009385005597203726
gender,0.00865044773953567
subcounty_Mwingi Central,0.0077191757418313195
farmer_group,0.007275898467471184
subcounty_Kitui West,0.006216603413830347
subcounty_Mwingi North,0.004087591882544937
tmax_c_mean,0.0021338469804077706
tmin_c_mean,0.0019475218978545982
climate_stress,0.0008840004776167837
chirps_rain_mm,0.0
rain_adequacy,0.0
