,0
management_index,0.21433039979263385
ndvi_mean,0.1866187470784784
seed_type,0.10396041567270164
farm_size_ha,0.06531120866924912
fert_rate_kgha,0.05257807841462486
education_yrs,0.0394472434315011
planting_week,0.037982405531325134
extension_access,0.03567516678682755
soil_clay_pct,0.034531109877088774
soil_fertility_score,0.030404496494372463
soil_soc_gkg,0.029317325344426718
farmer_group,0.024299162225955077
planting_optimal,0.024117013237267032
soil_ph,0.022951791704659445
irrigation,0.018964365455850334
subcounty_Mwingi West,0.018306618693453545
gender,0.014424392934916876
subcounty_Mwingi Central,0.014026854832223792
subcounty_Mwingi North,0.009539468874541488
subcounty_Kitui West,0.007302670516068273
tmax_c_mean,0.006224885349022828
climate_stress,0.005091739255423969
tmin_c_mean,0.004594439827387666
chirps_rain_mm,0.0
rain_adequacy,0.0
